No,torch_tf_max_diff,torch_tf_mean_diff,tfjschrome_torch_max_diff,tfjschrome_torch_mean_diff,tfjschrome_tf_max_diff,tfjschrome_tf_mean_diff,channels,model,fail_time
1136,2.98E-07,1.84E-08,4.034018338,0.294197415,4.034018338,0.294197415,0:1 1:1 2:1 3:2 4:4 5:4 6:4 7:4 8:8 9:16 ,from:0 to:1 operator:-1  from:0 to:3 operator:4  from:0 to:4 operator:-1  from:1 to:2 operator:16  from:2 to:3 operator:-1  from:2 to:4 operator:10  from:3 to:4 operator:-1  from:4 to:5 operator:5  from:4 to:8 operator:10  from:4 to:9 operator:8  from:5 to:6 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:5  from:8 to:9 operator:-1  ,739
1137,2.98E-07,1.26E-08,4.23075819,0.397213316,4.23075819,0.397213315,0:1 1:1 2:1 3:3 4:4 5:4 6:4 7:4 8:8 9:16 ,from:0 to:1 operator:-1  from:0 to:3 operator:4  from:0 to:4 operator:16  from:1 to:2 operator:-1  from:1 to:3 operator:13  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:5  from:4 to:8 operator:10  from:4 to:9 operator:8  from:5 to:6 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:5  from:8 to:9 operator:-1  ,739
1139,1.79E-07,9.21E-09,3.915161848,0.423435365,3.915161848,0.423435365,0:1 1:1 2:1 3:2 4:4 5:4 6:4 7:4 8:8 9:16 ,from:0 to:1 operator:-1  from:0 to:3 operator:4  from:0 to:4 operator:5  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:4 operator:10  from:3 to:4 operator:-1  from:4 to:5 operator:5  from:4 to:8 operator:10  from:4 to:9 operator:8  from:5 to:6 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:5  from:8 to:9 operator:-1  ,740
1165,1.79E-07,2.51E-08,1.975052118,0.301990078,1.975052238,0.30199008,0:1 1:1 2:1 3:2 4:3 5:3 6:3 7:3 8:6 9:9 ,from:0 to:1 operator:-1  from:0 to:3 operator:4  from:0 to:4 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:5  from:4 to:8 operator:10  from:5 to:6 operator:5  from:6 to:7 operator:16  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,765
1172,2.98E-07,1.13E-08,3.618284002,0.32927329,3.618284002,0.329273289,0:1 1:1 2:1 3:3 4:4 5:4 6:4 7:4 8:8 9:16 ,from:0 to:1 operator:-1  from:0 to:3 operator:4  from:0 to:4 operator:16  from:1 to:2 operator:-1  from:1 to:3 operator:13  from:2 to:3 operator:5  from:3 to:4 operator:-1  from:4 to:5 operator:5  from:4 to:8 operator:10  from:4 to:9 operator:8  from:5 to:6 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:5  from:8 to:9 operator:-1  ,771
1177,2.98E-07,2.06E-08,3.716792628,0.191224132,3.716792628,0.191224127,0:1 1:1 2:1 3:3 4:4 5:4 6:4 7:4 8:8 9:16 ,from:0 to:1 operator:16  from:0 to:3 operator:4  from:0 to:4 operator:16  from:1 to:2 operator:-1  from:1 to:3 operator:13  from:2 to:3 operator:5  from:3 to:4 operator:-1  from:4 to:5 operator:5  from:4 to:8 operator:10  from:4 to:9 operator:8  from:5 to:6 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:5  from:8 to:9 operator:-1  ,774
1188,1.79E-07,2.03E-08,1.960632086,0.37878506,1.960631967,0.37878506,0:1 1:1 2:1 3:2 4:3 5:3 6:3 7:3 8:6 9:10 ,from:0 to:1 operator:-1  from:0 to:3 operator:4  from:0 to:4 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:5  from:4 to:8 operator:10  from:5 to:6 operator:5  from:5 to:9 operator:17  from:6 to:7 operator:16  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,784
1202,2.38E-07,1.05E-08,2.291858368,0.426426611,2.291858368,0.426426611,0:1 1:1 2:1 3:2 4:3 5:3 6:3 7:3 8:6 9:9 ,from:0 to:1 operator:-1  from:0 to:3 operator:4  from:0 to:4 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:5  from:4 to:8 operator:10  from:5 to:6 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:5  from:7 to:9 operator:5  from:8 to:9 operator:-1  ,797
1205,1.79E-07,1.33E-08,2.325858712,0.477078349,2.325858712,0.477078349,0:1 1:1 2:1 3:2 4:3 5:3 6:3 7:3 8:9 9:12 ,from:0 to:1 operator:-1  from:0 to:3 operator:4  from:0 to:4 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:5  from:4 to:8 operator:10  from:5 to:6 operator:5  from:5 to:8 operator:16  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:5  from:8 to:9 operator:-1  ,798
1214,2.98E-07,1.55E-08,4.695475951,0.282992316,4.695475951,0.282992316,0:1 1:1 2:1 3:2 4:4 5:4 6:4 7:4 8:8 9:16 ,from:0 to:1 operator:-1  from:0 to:3 operator:4  from:0 to:4 operator:-1  from:1 to:2 operator:16  from:2 to:3 operator:-1  from:2 to:4 operator:10  from:3 to:4 operator:-1  from:4 to:5 operator:5  from:4 to:8 operator:16  from:4 to:9 operator:8  from:5 to:6 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:5  from:8 to:9 operator:-1  ,806
