No,torch_tf_max_diff,torch_tf_mean_diff,tfjschrome_torch_max_diff,tfjschrome_torch_mean_diff,tfjschrome_tf_max_diff,tfjschrome_tf_mean_diff,channels,model,fail_time
0,3.9457867,3.6732645,3.94578683,3.673264601,0,0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:1 9:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:18  ,0
3,0,0,5.751660585,1.115164244,5.751660585,1.115164244,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:1 9:2 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,2
4,5.96E-08,3.26E-09,1.19E-07,7.33E-09,1.19E-07,8.16E-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:1 9:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,2
5,5.96E-08,1.09E-09,4.022479236,0.381451553,4.022479236,0.381451553,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:2 9:2 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:8  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,2
8,1.19E-07,1.94E-09,4.307464242,0.315540468,4.307464242,0.315540468,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:2 9:2 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,4
10,5.96E-08,2.13E-09,4.5455845,0.43291949,4.5455845,0.43291949,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:1 9:2 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:6 to:9 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,5
11,1.19E-07,9.50E-09,3.93529743,0.681272679,3.93529743,0.681272679,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:3 9:3 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:8 operator:16  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:8  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,5
12,1.19E-07,8.81E-09,3.883723795,0.680607391,3.883723795,0.680607391,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:3 9:3 ,from:0 to:1 operator:12  from:1 to:2 operator:-1  from:1 to:8 operator:16  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:8  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,5
13,0,0,5.673332453,0.84172179,5.673332453,0.84172179,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:2 9:3 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:8 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,5
14,1.19E-07,7.31E-09,4.090104818,0.688437094,4.090104818,0.688437094,0:1 1:1 2:1 3:1 4:1 5:1 6:2 7:3 8:4 9:4 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:8 operator:16  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:6 operator:8  from:5 to:6 operator:-1  from:5 to:7 operator:8  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,5
15,0,0,5.576882124,0.455428619,5.576882124,0.455428619,0:1 1:1 2:1 3:1 4:1 5:2 6:2 7:2 8:2 9:4 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:5 operator:8  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,5
16,5.96E-08,4.37E-09,4.766029596,0.875453748,4.766029596,0.875453747,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:2 9:2 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,5
17,0,0,5.651768208,1.130583367,5.651768208,1.130583367,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:2 9:2 ,from:0 to:1 operator:-1  from:0 to:8 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,5
19,0,0,5.489511967,1.105610566,5.489511967,1.105610566,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:2 9:3 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:8 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,6
20,1.19E-07,4.03E-09,4.216275096,0.473694157,4.216275096,0.473694157,0:1 1:1 2:1 3:1 4:1 5:1 6:2 7:3 8:4 9:4 ,from:0 to:1 operator:12  from:1 to:2 operator:-1  from:1 to:8 operator:16  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:3 to:6 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:8  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,6
21,5.96E-08,1.41E-09,5.443124533,0.483718207,5.443124533,0.483718207,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:2 9:3 ,from:0 to:1 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,6
22,1.19E-07,8.69E-09,5.315605044,0.892406604,5.315605044,0.892406603,0:1 1:1 2:1 3:1 4:1 5:1 6:2 7:3 8:3 9:4 ,from:0 to:1 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:1 to:6 operator:16  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,6
23,5.96E-08,3.35E-09,5.989303589,0.941702821,5.989303589,0.941702821,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:3 9:4 ,from:0 to:1 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:6 to:8 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,6
24,0,0,5.511624217,1.123454349,5.511624217,1.123454349,0:1 1:1 2:1 3:1 4:1 5:1 6:2 7:2 8:2 9:2 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:6 operator:12  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,6
27,1.19E-07,2.18E-09,4.913217664,0.756922783,4.913217664,0.756922783,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:2 9:2 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:6 to:8 operator:17  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,8
29,0,0,6.224301815,1.039304184,6.224301815,1.039304184,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:3 9:4 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:8 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:8  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,9
30,5.96E-08,2.10E-09,5.301494598,0.993813952,5.301494598,0.993813952,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:3 9:4 ,from:0 to:1 operator:-1  from:0 to:8 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,9
31,0,0,6.397146463,1.1200081,6.397146463,1.1200081,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:2 9:4 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:7 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,9
34,5.96E-08,3.16E-09,4.832972646,0.916218069,4.832972646,0.916218069,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:3 8:4 9:5 ,from:0 to:1 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:3 to:7 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:6 to:8 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,11
35,1.19E-07,7.15E-09,4.489027917,0.67525935,4.489027917,0.67525935,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:3 8:4 9:4 ,from:0 to:1 operator:12  from:1 to:2 operator:-1  from:1 to:8 operator:16  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:3 to:7 operator:8  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:8  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,11
36,5.96E-08,9.97E-10,5.872399807,0.968429271,5.872399807,0.968429271,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:3 9:4 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:8 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:6 to:8 operator:17  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,11
37,0,0,5.913094044,1.132459531,5.913094044,1.132459531,0:1 1:1 2:1 3:1 4:1 5:1 6:2 7:2 8:2 9:3 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:6 operator:12  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,11
38,0,0,5.967907429,1.110012948,5.967907429,1.110012948,0:1 1:1 2:1 3:1 4:2 5:2 6:3 7:3 8:3 9:5 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:4 operator:-1  from:2 to:3 operator:-1  from:2 to:6 operator:12  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,11
39,5.96E-08,1.62E-09,5.257289886,1.032925169,5.257289886,1.032925169,0:1 1:1 2:1 3:1 4:2 5:2 6:2 7:4 8:4 9:5 ,from:0 to:1 operator:-1  from:0 to:4 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,11
