No,torch_tf_max_diff,torch_tf_mean_diff,tfjschrome_torch_max_diff,tfjschrome_torch_mean_diff,tfjschrome_tf_max_diff,tfjschrome_tf_mean_diff,channels,model,fail_time
0,3.9457867,3.6732645,3.94578683,3.673264601,0,0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:1 9:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:18  ,0
3,0,0,5.751660585,1.115164244,5.751660585,1.115164244,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:1 9:2 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,2
5,5.96E-08,1.09E-09,4.022479236,0.381451553,4.022479236,0.381451553,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:2 9:2 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:8  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,2
11,1.19E-07,9.50E-09,3.93529743,0.681272679,3.93529743,0.681272679,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:3 9:3 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:8 operator:16  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:8  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,5
13,0,0,5.673332453,0.84172179,5.673332453,0.84172179,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:2 9:3 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:8 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,5
14,1.19E-07,7.31E-09,4.090104818,0.688437094,4.090104818,0.688437094,0:1 1:1 2:1 3:1 4:1 5:1 6:2 7:3 8:4 9:4 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:8 operator:16  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:6 operator:8  from:5 to:6 operator:-1  from:5 to:7 operator:8  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,5
15,0,0,5.576882124,0.455428619,5.576882124,0.455428619,0:1 1:1 2:1 3:1 4:1 5:2 6:2 7:2 8:2 9:4 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:5 operator:8  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,5
17,0,0,5.651768208,1.130583367,5.651768208,1.130583367,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:2 9:2 ,from:0 to:1 operator:-1  from:0 to:8 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,5
21,5.96E-08,1.41E-09,5.443124533,0.483718207,5.443124533,0.483718207,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:2 9:3 ,from:0 to:1 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,6
22,1.19E-07,8.69E-09,5.315605044,0.892406604,5.315605044,0.892406603,0:1 1:1 2:1 3:1 4:1 5:1 6:2 7:3 8:3 9:4 ,from:0 to:1 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:1 to:6 operator:16  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,6
23,5.96E-08,3.35E-09,5.989303589,0.941702821,5.989303589,0.941702821,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:3 9:4 ,from:0 to:1 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:6 to:8 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,6
24,0,0,5.511624217,1.123454349,5.511624217,1.123454349,0:1 1:1 2:1 3:1 4:1 5:1 6:2 7:2 8:2 9:2 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:6 operator:12  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,6
29,0,0,6.224301815,1.039304184,6.224301815,1.039304184,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:3 9:4 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:8 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:8  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,9
31,0,0,6.397146463,1.1200081,6.397146463,1.1200081,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:2 9:4 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:7 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,9
34,5.96E-08,3.16E-09,4.832972646,0.916218069,4.832972646,0.916218069,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:3 8:4 9:5 ,from:0 to:1 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:3 to:7 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:6 to:8 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,11
35,1.19E-07,7.15E-09,4.489027917,0.67525935,4.489027917,0.67525935,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:3 8:4 9:4 ,from:0 to:1 operator:12  from:1 to:2 operator:-1  from:1 to:8 operator:16  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:3 to:7 operator:8  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:8  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,11
37,0,0,5.913094044,1.132459531,5.913094044,1.132459531,0:1 1:1 2:1 3:1 4:1 5:1 6:2 7:2 8:2 9:3 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:6 operator:12  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,11
38,0,0,5.967907429,1.110012948,5.967907429,1.110012948,0:1 1:1 2:1 3:1 4:2 5:2 6:3 7:3 8:3 9:5 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:4 operator:-1  from:2 to:3 operator:-1  from:2 to:6 operator:12  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,11
39,5.96E-08,1.62E-09,5.257289886,1.032925169,5.257289886,1.032925169,0:1 1:1 2:1 3:1 4:2 5:2 6:2 7:4 8:4 9:5 ,from:0 to:1 operator:-1  from:0 to:4 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,11
40,5.96E-08,7.14E-10,5.722752929,0.521252981,5.722752929,0.521252981,0:1 1:1 2:1 3:1 4:2 5:2 6:2 7:4 8:5 9:6 ,from:0 to:1 operator:-1  from:0 to:4 operator:-1  from:0 to:8 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,11
41,5.96E-08,1.05E-09,6.094590187,1.07238542,6.094590187,1.07238542,0:1 1:1 2:1 3:1 4:1 5:1 6:2 7:2 8:2 9:4 ,from:0 to:1 operator:-1  from:0 to:9 operator:13  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:6 operator:12  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,11
44,5.96E-08,8.62E-10,5.776998758,1.076408253,5.776998758,1.076408253,0:1 1:1 2:1 3:1 4:1 5:2 6:3 7:3 8:3 9:5 ,from:0 to:1 operator:-1  from:0 to:5 operator:12  from:0 to:9 operator:13  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:6 operator:12  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,13
45,1.19E-07,5.00E-09,5.046628475,1.048358027,5.046628475,1.048358027,0:1 1:1 2:1 3:1 4:1 5:2 6:3 7:3 8:4 9:6 ,from:0 to:1 operator:-1  from:0 to:5 operator:12  from:0 to:8 operator:16  from:0 to:9 operator:13  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:6 operator:12  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,13
46,5.96E-08,1.67E-09,5.819143414,1.038909001,5.819143414,1.038909001,0:1 1:1 2:1 3:1 4:1 5:1 6:2 7:3 8:4 9:5 ,from:0 to:1 operator:-1  from:0 to:6 operator:-1  from:0 to:8 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,13
49,5.96E-08,6.80E-10,6.651760578,1.035759663,6.651760578,1.035759663,0:1 1:1 2:1 3:1 4:1 5:2 6:3 7:4 8:4 9:6 ,from:0 to:1 operator:-1  from:0 to:5 operator:12  from:0 to:7 operator:8  from:0 to:9 operator:13  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:6 operator:12  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,15
50,0,0,5.568667889,0.979259419,5.568667889,0.979259419,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:3 9:5 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:8 operator:-1  from:4 to:9 operator:8  from:5 to:6 operator:-1  from:5 to:8 operator:8  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,15
57,6.35E-08,2.79E-09,5.762429237,1.064084315,5.762429237,1.064084315,0:1 1:1 2:1 3:1 4:2 5:2 6:2 7:4 8:5 9:7 ,from:0 to:1 operator:-1  from:0 to:4 operator:-1  from:0 to:8 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:1 to:9 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,17
59,1.19E-07,5.80E-09,5.372154951,0.779550878,5.372154951,0.779550878,0:1 1:1 2:1 3:1 4:1 5:1 6:2 7:4 8:5 9:5 ,from:0 to:1 operator:12  from:0 to:6 operator:12  from:1 to:2 operator:-1  from:1 to:8 operator:16  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:3 to:7 operator:8  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:8  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,17
